Metric,Value
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19961
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.000858078
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000849902
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.000369919
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.000849902
design_powergrid__voltage__worst,0.000849902
design_powergrid__voltage__worst__net:VPWR,1.19914
design_powergrid__drop__worst,0.000858078
design_powergrid__drop__worst__net:VPWR,0.000858078
design_powergrid__voltage__worst__net:VGND,0.000849902
design_powergrid__drop__worst__net:VGND,0.000849902
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.0003860000000000000041321113197767544988892041146755218505859375
ir__drop__worst,0.00085800000000000003867739462037889097700826823711395263671875
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
